大类,地区/小类,子类,地点,学校,活动名,群号,群名称,说明
活动官方群,地区性活动,辽宁省,大连市,,大连THO,203085108,大连东方Project同好会,
活动官方群,地区性活动,辽宁省,鞍山市,,鞍山THO,928042289,鞍山THP(25年暑假计划)·东方钢之都,鞍山THP交流群 欢迎各位同好入群
活动官方群,地区性活动,辽宁省,营口市,,营口THP,1058194441,百年港城の圣辇船,2025.8.17 营口THP01 东方星缘港欢迎各位东方众！点击图片访问官方网站！
活动官方群,地区性活动,吉林省,长春市,,吉林THO,851532015,*暑假快乐*吉林省THO/长春thp/吉林省东方Project同好会,
活动官方群,地区性活动,吉林省,吉林市,,吉林市THF,955148055,吉林市THF01-松江梦幻游,
活动官方群,地区性活动,黑龙江省,哈尔滨市,,哈尔滨THO,205126938,🧨哈尔滨东方同好活动会 冰↑嘟🧨,
活动官方群,地区性活动,黑龙江省,齐齐哈尔市,,齐齐哈尔THO,561123675,齐齐哈尔THO——東方孤羽翎（齐齐哈尔東方同好会）,
活动官方群,地区性活动,上海市,上海市,,上海THONLY,386286978,上海thonly12东方风绒塔,
活动官方群,地区性活动,上海市,上海市,,上海高校东方联合例会,959953900,【游客群】东方明珠宴02 9.20堂堂开催！,
活动官方群,地区性活动,上海市,上海市,,临港东方例会,1045140617,湖光幻想祭游客群,
活动官方群,地区性活动,上海市,上海市,,复旦大学东方例会,570042132,东方光华语 第二届 游客群,
活动官方群,地区性活动,上海市,上海市,,同济大学东方例会,895825069,同济大学 ❀ 济悠樱,
活动官方群,地区性活动,上海市,上海市,,上海财经大学东方例会,950687679,【预计5.24】上财例会1.5,
活动官方群,地区性活动,上海市,上海市,,东方联合例会,1038925807,东方虹柒录游客集散中心（上海电子信息、上海城建、上海中侨、上海立达）,
活动官方群,地区性活动,上海市,上海市,,上海群英荟 Fantasies-Studded,197166337,群音绘Create 818魅知博20,
活动官方群,地区性活动,上海市,上海市,,The Origins,531815925,The Origins ??th 20024,
活动官方群,地区性活动,上海市,上海市,,东方桂月宴,335788931,东方桂月预备队,
活动官方群,地区性活动,江苏省,江苏省,,江苏百景游园会,837975810,江苏百景游园会～江苏线下活动 游客群,
活动官方群,地区性活动,江苏省,南京市,,南京THO,870555749,界南京THO❤4.6生日聚会筹备中,
活动官方群,地区性活动,江苏省,南京市,,金陵THO,981050777,金陵THO·幻夜绮想之章,
活动官方群,地区性活动,江苏省,南京市,,南京市THO,808308004,南京市THO 东方溯明镜-2025.6.1,
活动官方群,地区性活动,江苏省,南京市,,南京THO（水杉）,1036383589,南京THO（水杉）交流群,
活动官方群,地区性活动,江苏省,南京市,,南京东方高校联合例会,479677381,南京东方高校联合,
活动官方群,地区性活动,江苏省,南京市,,南京师范大学东方例会,912595917,南师东方例会——东方菲野天原,
活动官方群,地区性活动,江苏省,南京市,,南京中医药大学THP,1031757240,东方本草烩~南中医thp定档4.20,
活动官方群,地区性活动,江苏省,南京市,,南京信息工程大学THP,1104739046,东方霏雨韵游客群,
活动官方群,地区性活动,江苏省,南京市,,南京农业大学THP,959771812,第二届南农THP~东方秾华宴2.0,
活动官方群,地区性活动,江苏省,无锡市,,无锡THP,560852790,无锡THP（博丽大结界）,
活动官方群,地区性活动,江苏省,无锡市江阴市,,江阴THP,1031124945,江阴东方同好交流群,
活动官方群,地区性活动,江苏省,徐州市,,徐州THO,938381516,徐州THO-4.5筹备中,
活动官方群,地区性活动,江苏省,徐州市,,徐州THO,261251252,徐州东方同好会~预告：徐州tho04,
活动官方群,地区性活动,江苏省,徐州市,,徐州高校东方例会,710148521,徐州高校东方例会·活动群,
活动官方群,地区性活动,江苏省,常州市,,常州THP,745829031,常州东方同好会～冬日聚会中！,
活动官方群,地区性活动,江苏省,苏州市,,苏州THO,739875187,苏州THO3.5 暑期茶会票5块,
活动官方群,地区性活动,江苏省,苏州市,,东方苏酒宴,699969716,東方蘇酒宴交流群,
活动官方群,地区性活动,江苏省,苏州市,,苏州THP,373964171,苏州THP 春天来啦——,
活动官方群,地区性活动,江苏省,苏州市张家港市,,张家港东方茶会,791078061,7.26张家港东方project茶会~东方月渡弦,
活动官方群,地区性活动,江苏省,苏州市昆山市,,昆山茶会,607720320,妖怪昆山,
活动官方群,地区性活动,江苏省,南通市,,南通THP,1048929006,南通东方同好会~静海沙织梦 通p在7.19,
活动官方群,地区性活动,江苏省,连云港市,,连云港THP,985668724,连云港东方同好会——镜花缘起,
活动官方群,地区性活动,江苏省,淮安市,,淮安THP,658107342,淮安东方project同好会/淮安THP02—东方醉清阁,
活动官方群,地区性活动,江苏省,盐城市,,盐城THP,615087231,盐城THP2.0-东方丹鹤行,
活动官方群,地区性活动,江苏省,扬州市,,扬州THO/THP,1028986517,扬州THO/THP～熱月活动筹划中,（点击图片即可一键加群）（本群为旧群，若无法加入请搜索新群群号：1087973737）廿四桥边廿四风，杨柳依依西湖瘦，欢迎来到月亮城扬州！
活动官方群,地区性活动,江苏省,扬州市,,扬州THO/THP,1087973737,扬州THO02 ~ 東方霧月湖,（点击图片即可一键加群）（本群为新群）廿四桥边廿四风，杨柳依依西湖瘦，欢迎来到月亮城扬州！
活动官方群,地区性活动,江苏省,镇江市,,镇江THP,556531771,镇江THP-东方梦笔谭,
活动官方群,地区性活动,江苏省,泰州市,,泰州茶会,961379090,泰州东方同好会·大厅,
活动官方群,地区性活动,江苏省,宿迁市,,宿迁THP,771227741,宿迁THP-钟吾琼浆宴,
活动官方群,地区性活动,江苏省,南京市,,南京医科大学东方例会,1026710694,南京医科大学第一届东方例会——东方明昙院游客群,点击图片一键加群
活动官方群,地区性活动,浙江省,杭州市,,浙江THO,789663988,浙江THO 少女祈祷中......,
活动官方群,地区性活动,浙江省,杭州市,,杭州THO,925268679,杭州THO02 2026.7.26~钱塘桃华宴~现已开票,
活动官方群,地区性活动,浙江省,绍兴市,,绍兴THO,962296619,绍兴THO001~会稽千寻萃定档于2026年7月19日！！！,先来绍T后去杭，人间极宴赛天堂！
活动官方群,地区性活动,浙江省,杭州市,,浙江工商大学东方例会,574725204,浙商大东方例会 next dream…,
活动官方群,地区性活动,浙江省,宁波市,,宁波THO,216067663,宁波THO·甬城秋宴,
活动官方群,地区性活动,浙江省,温州市,,温州THO,824084806,温州tho03？,
活动官方群,地区性活动,浙江省,嘉兴市,,嘉兴THP,1065416730,嘉兴THP1.0 停船做梦,
活动官方群,地区性活动,浙江省,湖州市,,湖州THP,734445919,湖州thp02·飏宇湖阴 2025.07.05,
活动官方群,地区性活动,浙江省,金华市,,金华THO,882338130,金华tho3·预计2026.2.8~海报早鬼莉莉白,
活动官方群,地区性活动,浙江省,舟山市,,舟山THO,242026175,舟山THO2029开展交流群,↓2028年铁路通车后启动筹办
活动官方群,地区性活动,浙江省,台州市,,台州THP,876156112,台州thp·幽思寄箬粽,
活动官方群,地区性活动,浙江省,丽水市,,丽水THP,952368440,丽水thp02~8.2 玄岚画空！,
活动官方群,地区性活动,安徽省,合肥市,,安徽THO,698852727,安徽tho4·隙间皖韵之梦 6.30,
活动官方群,地区性活动,安徽省,合肥市,,合肥THP,873200489,合肥东方THP交流群,
活动官方群,地区性活动,安徽省,芜湖市,,皖江THO,758139830,皖江tho活动交流群—Make Anhui Great Again,皖江tho活动交流群
活动官方群,地区性活动,安徽省,蚌埠市,,蚌埠THP,1070878094,🌸🐦🐟蚌埠东方同好会🐟🐦🌸,
活动官方群,地区性活动,安徽省,马鞍山市,,马鞍山THP,864471000,东方舞梨雨,
活动官方群,地区性活动,安徽省,宿州市,,宿州THP,544016673,宿州东方同好群,
活动官方群,地区性活动,福建省,福州市,,福州THO,928178046,福州tho 1群,
活动官方群,地区性活动,福建省,福州市,,福州THO,160768059,福州THO 2群,
活动官方群,地区性活动,福建省,厦门市,,福建THO,553675336,福建厦门THO-白鹭风茗交流群,
活动官方群,地区性活动,福建省,厦门市,,厦门THO,485709923,🦇绯月铃音🦇厦门THO（主群）,
活动官方群,地区性活动,福建省,厦门市,,鹭岛THP,904091837,鹭岛THP·冰释樱色 2026.2.22,
活动官方群,地区性活动,福建省,泉州市,,泉州THP,757830608,温陵润月•泉州东方萝莉交流会,
活动官方群,地区性活动,福建省,漳州市,,漳州THO,1049039682,漳州THO.樱庭花舞,漳州东方project活动游客群
活动官方群,地区性活动,江西省,南昌市,,江西THO,873861591,7.13 江西THO3-幻想Strawberry~!!,
活动官方群,地区性活动,江西省,南昌市,,南昌东方Only例会 豫章幻想茶会,610546073,南昌东方project同好会,
活动官方群,地区性活动,江西省,九江市,,九江茶话会,526842207,九天幻想宴茶会活动群,
活动官方群,地区性活动,江西省,赣州市,,赣州THP,543308591,赣州车万人聚集地——东方锦上赣,
活动官方群,地区性活动,江西省,多地区：上饶市、鹰潭市、抚州市、景德镇市,,赣东北THP,1031987369,赣东北东方同好会~信川靈幻紀行·壹——就在7.19,
活动官方群,地区性活动,山东省,山东省,,山东东方高校联合会,977015593,复活！山东东方高校联合,
活动官方群,地区性活动,山东省,济南市,,济南THO,856223214,山东TH04东方雨川集~7.19,
活动官方群,地区性活动,山东省,青岛市,,琴岛THO,574073900,琴岛tho 好喝，爱喝，下回还喝,
活动官方群,地区性活动,山东省,烟台市,,烟台THO,526544033,*早安，烟之城* 8.3 烟台THO02,
活动官方群,地区性活动,山东省,淄博市,,淄博THP,1145635997,淄博thp【是不是彼岸花又开了呢？】,
活动官方群,地区性活动,山东省,淄博市临淄区,,东方霜林宴,184537740,东方霜林宴03~宵暗续曲→12.31济南市中（跨年）,
活动官方群,地区性活动,山东省,威海市,,威海THP,915438943,威海东方Project同好会,
活动官方群,地区性活动,山东省,济宁市,,济宁THP,907803271,东方济州汇party 打复活赛中,
活动官方群,地区性活动,山东省,临沂市,,临沂THP,720728319,临沂THP交流群,
活动官方群,地区性活动,山东省,济南市章丘区,,章丘东方茶会,785905014,2024章丘茶话会“东方河口谣”游客群,
活动官方群,地区性活动,山东省,日照市,,日照THP,926445614,日照THP01～海曲终夏恋 绝赞筹备中！,
活动官方群,地区性活动,山东省,枣庄市,,枣庄职业学院,1020621071,枣庄职业学院の车万群,呼叫枣院人
活动官方群,地区性活动,山东省,聊城市,,聊城大学,514756242,东方三途川 - 聊城大学东方project同好群,
活动官方群,地区性活动,山东省,潍坊,,东方纸鸢录—潍坊thp,1085316220,潍坊东方活动群——东方纸鸢录,欢迎潍坊以及五洲四海的友友们来玩哇
活动官方群,地区性活动,河南省,郑州市,,郑州THO,755728594,2024.7.20-郑州tho～东方血流成河？,
活动官方群,地区性活动,河南省,郑州市,,郑州天狗only,828374353,郑州东方天狗only,
活动官方群,地区性活动,河南省,洛阳市,,洛阳THO,596864576,洛阳地区东方活动交流群,
活动官方群,地区性活动,河南省,开封市,,开封THO,531998464,开封东方project同好群~汴tho1·东方明心渡2024.7.6,
活动官方群,地区性活动,河南省,濮阳市,,濮阳THP,537643644,濮阳THP02 龙都银阙宴,
活动官方群,地区性活动,河南省,平顶山市,,平顶山THP,695500845,平顶山——thp01 2025.8.10 正式官宣！！！,
活动官方群,地区性活动,河南省,周口市,,周口THP,807077591,周口THP.01 东方陈月夜,
活动官方群,地区性活动,河南省,鹤壁市,,鹤壁东方茶会,729364138,无香塔（鹤壁东方交流群）,
活动官方群,地区性活动,河南省,洛阳市,,东方槐夏祭,978754013,街溜子群,古老神秘的洛阳~一群街溜子汇聚于此~
活动官方群,地区性活动,河南省,郑州市,,郑州新春茶会,1060373220,雪月花时·2026郑州新春茶会交流群,爆竹声中一岁除，新春茶会闪亮登场！
活动官方群,地区性活动,河南省,郑州,,郑州THP,1065075786,郑州THP-01官方游客交流群,
活动官方群,地区性活动,湖北省,武汉市,,武汉THO,106724753,武汉TH08 10/5（预定）冷气开放中,
活动官方群,地区性活动,湖北省,武汉市,,武汉高校联合东方例会,940699684,武汉高校联合东方例会,
活动官方群,地区性活动,湖北省,宜昌市,,宜昌THP,1017819308,宜昌东方同好会,
活动官方群,地区性活动,湖北省,荆州市,,荆州THP,1062749887,荆州车万交流群,
活动官方群,地区性活动,湖北省,襄阳市,,襄阳THP,865881296,襄茶02 堂堂开催,
活动官方群,地区性活动,湖北省,黄冈市,,黄冈THP,771905837,黄冈thp：待机ing…,
活动官方群,地区性活动,湖南省,长沙市,,长沙THO,877094590,长沙THO4·星城幻想荟萃 5月1日,
活动官方群,地区性活动,湖南省,长沙市,,芙湘长沙THP,731034457,第五届thp，堂堂结束！,
活动官方群,地区性活动,湖南省,长沙市,,东方湘音异闻,1106521747,东方湘音异闻Vol·2,
活动官方群,地区性活动,湖南省,岳阳市,,岳阳THP,932138967,岳阳thp——东方忆湖风,
活动官方群,地区性活动,湖南省,常德市,,常德THP,895053119,9/16常德THP-01 星光幻韵集,
活动官方群,地区性活动,贵州省,贵阳市,,贵阳THO,676576626,贵州东方project集结&贵阳THO03-2025.07.19,
活动官方群,地区性活动,贵州省,遵义市,,遵义THP,541535645,遵义东方project同好会 遵P3复活赛ing,
活动官方群,地区性活动,贵州省,铜仁市,,铜仁东方茶会,951156607,茶会7.12~铜仁东方project同好会,
活动官方群,地区性活动,贵州省,安顺市,,安顺东方茶会,852312738,2025年新春到来之安顺project同好会,
活动官方群,地区性活动,广东省,广州市,,广州THO-东方游剧天,1065469294,广州THO東方遊劇天,
活动官方群,地区性活动,广东省,广州市,,星声代起 / 东方木棉宴,963252318,广友-星声代起/木棉宴,
活动官方群,地区性活动,广东省,广州市,,黄瓜幻想博览会 in 广州,983357885,广州东方project·黄瓜幻想博览会（暂名）,
活动官方群,地区性活动,广东省,广州市,,幻想星廻~Reunion.,729220184,幻想星廻~-~Reunion 广州东方系列活动,
活动官方群,地区性活动,广东省,广州市,,穗校联东方例会（广州THCP）,578391927,穗城东方院校联合,
活动官方群,地区性活动,广东省,广州市南沙区,,广州·南沙THP,143104479,【修路中】广州·南沙THCamping 东方神秘园 @2026,
活动官方群,地区性活动,广东省,深圳市,,深圳THO-黄瓜大厂,927604063,深圳THO·2026春 5.2,
活动官方群,地区性活动,广东省,深圳市,,深圳东方Feast-云幽萃梦,766317147,东方Feast-云幽萃梦,
活动官方群,地区性活动,广东省,深圳市,,深圳THEP,922796400,深圳THEP02·雾湖夏日大捣蛋结束，感谢各位,
活动官方群,地区性活动,广东省,深圳市,,深圳THP,963208563,古明地游戏馆,
活动官方群,地区性活动,广东省,深圳市,,伶仃洋THP-深中直通车,606783736,［听通知］伶仃洋THP2.1,
活动官方群,地区性活动,广东省,深圳市龙岗区,,龙坪东方茶会,925521428,龙坪东方茶会·特区四时歌,
活动官方群,地区性活动,广东省,佛山市,,佛山THO,1148711431,佛山东方交流群,
活动官方群,地区性活动,广东省,东莞市,,东莞THO,383095645,东莞东方活动交流群,
活动官方群,地区性活动,广东省,东莞市,,东莞THP / 东莞THCP,755436974,东莞院校东方活动群,
活动官方群,地区性活动,广东省,多地区：汕头市、潮州市、揭阳市,,潮汕THO / 潮汕THP,700076261,潮汕THO-秘封粤东之旅,
活动官方群,地区性活动,广东省,中山市,,中山THP,861629864,中山THP-逸仙香岐游,
活动官方群,地区性活动,广东省,多地区：茂名市、湛江市、阳江市,,粤西THO / 粤西THP / 湛江THO,300251596,粤西东方活动群,
活动官方群,地区性活动,广东省,惠州市,,惠州THP,950810811,惠州·客家Touhou一条围,
活动官方群,地区性活动,广东省,江门市,,江门THP,175110765,江门东方THP活动交流群,
活动官方群,地区性活动,广东省,肇庆市,,肇庆THP,940790736,肇庆THP-东方端星宴,
活动官方群,地区性活动,广东省,韶关市,,韶关THP,667169623,韶关东方project同好会,
活动官方群,地区性活动,广东省,珠海市,,珠海THP,571188233,珠海THP——香海寻浪,
活动官方群,地区性活动,广西壮族自治区,南宁市,,广西THO,774398628,广西THO-幻想桂风颂,
活动官方群,地区性活动,广西壮族自治区,南宁市,,广西THO,1016994470,广西THO②,
活动官方群,地区性活动,广西壮族自治区,南宁市武鸣区,,武鸣THP,813832899,武鸣东方project同好会,
活动官方群,地区性活动,广西壮族自治区,桂林市,,桂林THONLY 桂沁漓澜,777067859,桂林THO-桂沁漓澜,
活动官方群,地区性活动,广西壮族自治区,桂林市,,桂林东方高校联合例会,829990025,桂林七校东方project联合美食,
活动官方群,地区性活动,广西壮族自治区,柳州市,,柳州高联THPARTY 东方江柳曲,932216117,柳州THP-东方江柳曲,
活动官方群,地区性活动,广西壮族自治区,玉林市,,玉林THP,238267656,玉林车万人妙妙屋,
活动官方群,地区性活动,广西壮族自治区,梧州市,,梧州THP,730908028,梧州-THP_02,
活动官方群,地区性活动,广西壮族自治区,河池市,,河池东方春樱祭,952654566,河池东方同好会-仲夏昼之梦 将于8.10开幕！,
活动官方群,地区性活动,广西壮族自治区,多地区：防城港市、钦州市、北海市,,防钦北THP,837472113,防钦北THP~幻想金湾逐浪,
活动官方群,地区性活动,海南省,海口市,,海南THO,850381724,海南THO 就在之前！,
活动官方群,地区性活动,重庆市,重庆市,,重庆THO,695180481,重庆THO•伍•地灵殿企划,
活动官方群,地区性活动,重庆市,重庆市,,渝州THP,833646739,渝州THP~5.10-5.11大学城熙街见！,
活动官方群,地区性活动,四川省,成都市,,成都THO,666047217,成都THO官方交流群,
活动官方群,地区性活动,四川省,绵阳市,,绵阳THP,920280583,绵阳东方同好会——thp02定档7.27,
活动官方群,地区性活动,四川省,内江市,,内江THP,126885854,内江thp01（预定）,
活动官方群,地区性活动,四川省,德阳市,,德阳THP,917280247,德阳THP〔东方清茗宴〕活动群,点击图片加入群聊
活动官方群,地区性活动,四川省,乐山市,,乐山THP,786445568,乐山THP [东方花江梦] 官方交流群,
活动官方群,地区性活动,四川省,多地区：南充市、广安市、达州市,,川东THO,985556373,川东THO游客群 #1 川苳风朔~,
活动官方群,地区性活动,四川省,绵阳市,,绵阳thp,836589881,绵阳thp活动群,绵阳thp的官方群
活动官方群,地区性活动,云南省,昆明市,,云南THP,315479094,云南THP—云岭寻芳行,
活动官方群,地区性活动,云南省,昆明市,,云南小碎骨茶话会,251299636,小碎骨炖蘑菇闲聊群,
活动官方群,地区性活动,陕西省,西安市,,长安THO,724326651,陕西·长安THO-景曜旧都,
活动官方群,地区性活动,陕西省,西安市,,长安大学THP,893843978,长安雅集-长安大学thp（第一届圆满成功）,
活动官方群,地区性活动,陕西省,咸阳市,,西北农林大学东方例会,768716891,西农例会·渭水幻想-梦行流觞,
活动官方群,地区性活动,甘肃省,兰州市,,兰州THO,884222737,兰州tho·陇上如烟 7月10日,
活动官方群,地区性活动,甘肃省,兰州市,,甘肃THP、甘高联东方例会：多主体,342248069,甘肃高校东方联合~甘肃THP定档端午！,
活动官方群,地区性活动,宁夏回族自治区,银川市,,宁夏THO,752227087,宁夏tho01·朔方舞凤,
活动官方群,地区性活动,青海省,西宁市,,青海THO,773259185,青海tho-01 紫天云绯 定档7月13,
活动官方群,地区性活动,新疆维吾尔自治区,乌鲁木齐市,,新疆THO,489665308,新疆东方活动同好会（新t定档25.10.3）,
活动官方群,网络性活动,,网络,,东方九声坛,723562641,【东方九声坛】讨论区,
地区性东方群,北京市,,北京市,,,570755024,帝都stg玩家面基游基群,
地区性东方群,北京市,,北京市,,,906408767,帝都东方同好会,←戳戳西瓜加入群聊【以北京地区东方众为主，欢迎线下面基哦o(>ω<)o】
地区性东方群,北京市,,北京市通州区,,,1032033141,北京通州东方project同好群,欢迎各位来玩(*¯︶¯*)
地区性东方群,北京市,,北京市密云区,,,1041362370,密云区东方Project同好群,欢迎北京密云本地和周边地区的朋友加入（点击图片加群）~
地区性东方群,天津市,,天津市,,,324368613,天津东方Project同好会,
地区性东方群,天津市,,天津市,,,812907203,天津STG同性交友群,
地区性东方群,河北省,,石家庄市,,,709868777,石家庄东方众交流群,
地区性东方群,河北省,,河北省,,,629349964,河北东方高校联合,
地区性东方群,河北省,,石家庄市,,,740807561,幻想乡的车车人,欢迎各位爱好者加入，欢迎各位coser老师，大型漫展常有群团建。
地区性东方群,河北省,,石家庄市辛集市,,,750720240,辛集市东方Project同好群,欢迎大家的加入(*^ω^*)
地区性东方群,河北省,,唐山市,,,122315914,唐山东方project修仙群,
地区性东方群,河北省,,秦皇岛市,,,877254900,秦皇岛东方project同好,
地区性东方群,河北省,,秦皇岛市,,,912832761,秦皇岛thp——下次一定！,秦皇岛东方project线下活动群！欢迎所有车万人进群聊天
地区性东方群,河北省,,秦皇岛市,,,966540605,秦港 东方幻想外交局,群主敛财局，供管理层享乐！
地区性东方群,河北省,,秦皇岛市,,,374062382,幻想乡～秦港大酒楼,篡位来的群，现为小岛所有！
地区性东方群,河北省,,张家口市,,,161898019,张家口东方project同好会群,欢迎张家口同好加入，点击图片加入群聊
地区性东方群,河北省,,邯郸市,,,973613499,邯郸东方project同好群,点击图片加入群聊
地区性东方群,河北省,,保定市,,,294097890,保定TH-酳酠古城聚,点击图片加入群聊
地区性东方群,河北省,,保定市,,,832210703,保定东方project同好会群,
地区性东方群,河北省,,邢台市,,,606461874,邢台东方同好会群,
地区性东方群,河北省,,承德市,,,859799346,承德东方project避暑群,
地区性东方群,河北省,,衡水市,,,574950876,东方红湖宴~衡水东方交流群,欢迎大家加入啊！这是一个准备着办THP的小群，但是还只是新建文件夹状态（汗）
地区性东方群,河北省,,衡水市,,,464292074,衡水東方大社,几个高中牲搞的东方小社团，欢迎进来玩
地区性东方群,河北省,,沧州市,,,848041287,沧州东方project同好群,
地区性东方群,河北省,,沧州市,,,748287245,新沧州东方project同好群,车万火锅鸡厨子群
地区性东方群,河北省,,沧州市青县,,,1017754699,青县东方同好会,点击图片加入群聊
地区性东方群,河北省,,廊坊市,,,697251823,廊坊东方project同好群,群主啥时候女装群
地区性东方群,河北省,,廊坊市,,,375077525,廊坊东方同好活动会,点击图片加入群聊
地区性东方群,河北省,,廊坊市文安县,,,769412564,文安东方Project爱好者聚集地,目前是五个高中狗的自嗨乐园
地区性东方群,河北省,,廊坊市大城县,,,828355070,大城东方同好会,欢迎各位来玩
地区性东方群,河北省,,沧州市泊头市,,,541458197,沧州市泊头市东方同好会,点击图片进入泊头幻想乡！
地区性东方群,山西省,,长治市,,,1157939650,长治东方project爱好者交流群,欢迎长治车车人
地区性东方群,山西省,,晋中市,,,199962258,晋中东方project同好会,欢迎晋中车车人
地区性东方群,山西省,,晋城市,,,981830125,山西晋城东方project同好会,
地区性东方群,山西省,,阳泉市,,,1103799732,阳泉东方交流群,
地区性东方群,山西省,,运城市,,,850990306,运城东方同好群,
地区性东方群,山西省,,大同市,,,938625843,东方project大同同好会,这里是大同市东方project同好会，来碗削面哇哥！
地区性东方群,山西省,,忻州市,,,833506489,东方project忻州组,欢迎忻州车车人，来块蒸肉哇哥？
地区性东方群,内蒙古自治区,,呼和浩特市,,,853846801,内蒙古东方同好会~北国幻想纪行,本群为thp企划结束后改建的地区群，欢迎加入！
地区性东方群,内蒙古自治区,,鄂尔多斯市,,,883818587,鄂尔多斯东方project同好会,
地区性东方群,内蒙古自治区,,包头市,,,662392841,包头の东方缘,
地区性东方群,内蒙古自治区,,多地点：呼伦贝尔市、兴安盟,,,254671892,海拉尔东方同好会,
地区性东方群,内蒙古自治区,,通辽市,,,602907559,通辽东方project同好会·草原之上の東の汗国,欢迎来到通辽大汗国！欢迎来到内蒙食大肉！请期待2024通辽thp！
地区性东方群,内蒙古自治区,,赤峰市,,,940949707,赤峰东方联合会,欢迎赤峰及其周边盟市的小伙伴
地区性东方群,内蒙古自治区,,巴彦淖尔市,,,1054854889,巴彦淖尔车万群,巴彦淖尔的东方群 欢迎临河 陕坝 东升庙 磴口 以及蒙西的小伙伴来玩哦
地区性东方群,辽宁省,,沈阳市,,,787414958,沈阳THO·第六届叫啥呢,
